From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Netherlands;Moldova;1102;1207;5;0.4537%;0.4143%;2.668%
Netherlands;Monaco;174;0;0;0%;nan%;0%
Netherlands;Montenegro;870;81;0;0%;0%;0.2249%
Netherlands;Morocco;0;0;0;nan%;nan%;nan%
Netherlands;Norway;1334;1972;69;5.172%;3.499%;3.825%
Netherlands;Poland;1160;507;15;1.293%;2.959%;1.115%
Netherlands;Portugal;1102;997;31;2.813%;3.109%;2.317%
Netherlands;Romania;1160;1379;20;1.724%;1.45%;3.04%
Netherlands;Russia;1218;3151;26;2.135%;0.8251%;6.749%
Netherlands;SanMarino;812;91;0;0%;0%;0.2705%
Netherlands;Serbia;928;1169;31;3.341%;2.652%;3.026%
Netherlands;Serbia&Montenegro;174;400;14;8.046%;3.5%;6.103%
Netherlands;Slovakia;232;0;0;0%;nan%;0%
Netherlands;Slovenia;1276;456;7;0.5486%;1.535%;0.9089%
Netherlands;Spain;1334;938;25;1.874%;2.665%;1.819%
Netherlands;Sweden;1334;3211;96;7.196%;2.99%;6.227%
Netherlands;Switzerland;1218;619;25;2.053%;4.039%;1.271%
Netherlands;Turkey;696;1405;109;15.66%;7.758%;5.543%
Netherlands;Ukraine;1044;2385;31;2.969%;1.3%;5.711%
Netherlands;UnitedKingdom;1334;756;10;0.7496%;1.323%;1.466%
Netherlands;Yugoslavia;0;0;0;nan%;nan%;nan%
Norway;Albania;1160;778;3;0.2586%;0.3856%;1.644%
Norway;Andorra;348;0;0;0%;nan%;0%
Norway;Armenia;986;1276;0;0%;0%;3.147%
Norway;Australia;522;1263;41;7.854%;3.246%;5.791%
Norway;Austria;1044;1084;34;3.257%;3.137%;2.655%
Norway;Azerbaijan;928;1710;25;2.694%;1.462%;4.46%
Norway;Belarus;1160;368;0;0%;0%;0.7776%
Norway;Belgium;1276;1149;30;2.351%;2.611%;2.288%
Norway;BosniaHerzegovina;754;1008;45;5.968%;4.464%;3.497%
Norway;Bulgaria;870;1245;33;3.793%;2.651%;3.457%
Norway;Croatia;1218;652;3;0.2463%;0.4601%;1.384%
Norway;Cyprus;1218;1051;12;0.9852%;1.142%;2.186%
Norway;Czech;696;479;16;2.299%;3.34%;1.642%
Norway;Denmark;1276;1739;112;8.777%;6.44%;3.474%
Norway;Estonia;1334;1049;28;2.099%;2.669%;2.034%
Norway;Finland;1218;608;39;3.202%;6.414%;1.248%
Norway;France;1334;1270;22;1.649%;1.732%;2.463%
Norway;Georgia;928;631;1;0.1078%;0.1585%;1.646%
Norway;Germany;1334;1347;52;3.898%;3.86%;2.612%
Norway;Greece;1276;1944;19;1.489%;0.9774%;3.875%
Norway;Hungary;986;944;14;1.42%;1.483%;2.315%
Norway;Iceland;1334;912;84;6.297%;9.211%;1.769%
Norway;Ireland;1334;587;20;1.499%;3.407%;1.138%
Norway;Israel;1334;1290;32;2.399%;2.481%;2.502%
Norway;Italy;754;1979;40;5.305%;2.021%;6.354%
Norway;Latvia;1334;790;34;2.549%;4.304%;1.532%
Norway;Lithuania;1218;809;49;4.023%;6.057%;1.662%
Norway;Luxembourg;0;0;0;nan%;nan%;nan%
Norway;Macedonia;1218;633;10;0.821%;1.58%;1.299%
Norway;Malta;1334;852;27;2.024%;3.169%;1.652%
Norway;Moldova;1102;1207;12;1.089%;0.9942%;2.668%
Norway;Monaco;174;0;0;0%;nan%;0%
Norway;Montenegro;870;81;0;0%;0%;0.2249%
Norway;Morocco;0;0;0;nan%;nan%;nan%
Norway;Netherlands;1334;1386;59;4.423%;4.257%;2.688%
Norway;Poland;1160;507;20;1.724%;3.945%;1.115%
Norway;Portugal;1102;997;22;1.996%;2.207%;2.317%
Norway;Romania;1160;1379;41;3.534%;2.973%;3.04%
Norway;Russia;1218;3151;40;3.284%;1.269%;6.749%
Norway;SanMarino;812;91;0;0%;0%;0.2705%
Norway;Serbia;928;1169;32;3.448%;2.737%;3.026%
Norway;Serbia&Montenegro;174;400;6;3.448%;1.5%;6.103%
Norway;Slovakia;232;0;0;0%;nan%;0%
Norway;Slovenia;1276;456;7;0.5486%;1.535%;0.9089%
Norway;Spain;1334;938;18;1.349%;1.919%;1.819%
Norway;Sweden;1334;3211;165;12.37%;5.139%;6.227%
Norway;Switzerland;1218;619;15;1.232%;2.423%;1.271%
Norway;Turkey;696;1405;37;5.316%;2.633%;5.543%
Norway;Ukraine;1044;2385;24;2.299%;1.006%;5.711%
Norway;UnitedKingdom;1334;756;11;0.8246%;1.455%;1.466%
Norway;Yugoslavia;0;0;0;nan%;nan%;nan%
Poland;Albania;1044;632;9;0.8621%;1.424%;1.483%
Poland;Andorra;348;0;0;0%;nan%;0%
Poland;Armenia;928;1235;39;4.203%;3.158%;3.226%
Poland;Australia;522;1263;54;10.34%;4.276%;5.791%
Poland;Austria;870;1050;16;1.839%;1.524%;3.022%
Poland;Azerbaijan;812;1326;34;4.187%;2.564%;3.942%
Poland;Belarus;1044;320;11;1.054%;3.438%;0.7506%
Poland;Belgium;1102;1076;49;4.446%;4.554%;2.438%
Poland;BosniaHerzegovina;696;953;4;0.5747%;0.4197%;3.611%
Poland;Bulgaria;754;1245;22;2.918%;1.767%;3.975%
Poland;Croatia;1044;582;3;0.2874%;0.5155%;1.419%
Poland;Cyprus;1044;978;13;1.245%;1.329%;2.329%
Poland;Czech;696;479;9;1.293%;1.879%;1.642%
Poland;Denmark;1102;1242;51;4.628%;4.106%;2.825%
Poland;Estonia;1160;812;22;1.897%;2.709%;1.786%
Poland;Finland;1044;577;22;2.107%;3.813%;1.354%
Poland;France;1160;1230;24;2.069%;1.951%;2.705%
Poland;Georgia;812;581;24;2.956%;4.131%;1.727%
Poland;Germany;1160;1123;45;3.879%;4.007%;2.47%
Poland;Greece;1160;1728;20;1.724%;1.157%;3.8%
Poland;Hungary;870;841;33;3.793%;3.924%;2.331%
Poland;Iceland;1160;774;17;1.466%;2.196%;1.702%
Poland;Ireland;1160;444;10;0.8621%;2.252%;0.9764%
Poland;Israel;1160;1283;26;2.241%;2.027%;2.822%
Poland;Italy;638;1752;29;4.545%;1.655%;6.624%
Poland;Latvia;1160;654;26;2.241%;3.976%;1.438%
Poland;Lithuania;1102;722;23;2.087%;3.186%;1.642%
Poland;Luxembourg;0;0;0;nan%;nan%;nan%
Poland;Macedonia;1044;533;8;0.7663%;1.501%;1.25%
Poland;Malta;1160;618;10;0.8621%;1.618%;1.359%
Poland;Moldova;986;1055;20;2.028%;1.896%;2.602%
Poland;Monaco;174;0;0;0%;nan%;0%
Poland;Montenegro;754;81;0;0%;0%;0.2586%
Poland;Morocco;0;0;0;nan%;nan%;nan%
Poland;Netherlands;1160;1232;38;3.276%;3.084%;2.709%
Poland;Norway;1160;1717;56;4.828%;3.262%;3.776%
Poland;Portugal;1044;997;22;2.107%;2.207%;2.456%
Poland;Romania;986;1218;31;3.144%;2.545%;3.102%
Poland;Russia;1044;2563;43;4.119%;1.678%;6.313%
Poland;SanMarino;696;91;0;0%;0%;0.3144%
Poland;Serbia;812;955;25;3.079%;2.618%;2.815%
Poland;Serbia&Montenegro;174;400;5;2.874%;1.25%;6.103%
Poland;Slovakia;174;0;0;0%;nan%;0%
Poland;Slovenia;1160;456;25;2.155%;5.482%;1.003%
Poland;Spain;1160;815;9;0.7759%;1.104%;1.792%
Poland;Sweden;1160;2689;68;5.862%;2.529%;5.914%
Poland;Switzerland;1044;605;21;2.011%;3.471%;1.419%
Poland;Turkey;580;1234;10;1.724%;0.8104%;5.735%
Poland;Ukraine;928;2106;120;12.93%;5.698%;5.682%
Poland;UnitedKingdom;1160;693;14;1.207%;2.02%;1.524%
Poland;Yugoslavia;0;0;0;nan%;nan%;nan%
Portugal;Albania;986;778;10;1.014%;1.285%;1.936%
Portugal;Andorra;348;0;0;0%;nan%;0%
Portugal;Armenia;812;986;8;0.9852%;0.8114%;2.951%
Portugal;Australia;406;752;16;3.941%;2.128%;4.44%
Portugal;Austria;812;899;40;4.926%;4.449%;2.783%
Portugal;Azerbaijan;754;1359;28;3.714%;2.06%;4.355%
Portugal;Belarus;986;320;1;0.1014%;0.3125%;0.7961%
Portugal;Belgium;1044;895;34;3.257%;3.799%;2.146%
Portugal;BosniaHerzegovina;638;1008;2;0.3135%;0.1984%;4.208%
Portugal;Bulgaria;696;938;21;3.017%;2.239%;3.247%
Portugal;Croatia;986;509;3;0.3043%;0.5894%;1.32%
Portugal;Cyprus;986;947;9;0.9128%;0.9504%;2.394%
Portugal;Czech;580;438;10;1.724%;2.283%;1.802%
Portugal;Denmark;1044;1263;26;2.49%;2.059%;3.041%
Portugal;Estonia;1102;932;27;2.45%;2.897%;2.166%
Portugal;Finland;986;577;6;0.6085%;1.04%;1.436%
Portugal;France;1102;994;42;3.811%;4.225%;2.31%
Portugal;Georgia;754;477;1;0.1326%;0.2096%;1.529%
Portugal;Germany;1102;1222;38;3.448%;3.11%;2.839%
Portugal;Greece;1102;1792;21;1.906%;1.172%;4.164%
Portugal;Hungary;812;752;12;1.478%;1.596%;2.235%
Portugal;Iceland;1102;820;22;1.996%;2.683%;1.905%
Portugal;Ireland;1102;490;22;1.996%;4.49%;1.139%
Portugal;Israel;1102;1148;14;1.27%;1.22%;2.668%
Portugal;Italy;580;1729;55;9.483%;3.181%;7.201%
Portugal;Latvia;1102;522;16;1.452%;3.065%;1.213%
Portugal;Lithuania;1044;592;10;0.9579%;1.689%;1.426%
Portugal;Luxembourg;0;0;0;nan%;nan%;nan%
Portugal;Macedonia;986;604;5;0.5071%;0.8278%;1.503%
Portugal;Malta;1102;506;2;0.1815%;0.3953%;1.176%
Portugal;Moldova;928;1136;76;8.19%;6.69%;2.981%
Portugal;Monaco;174;0;0;0%;nan%;0%
Portugal;Montenegro;696;81;0;0%;0%;0.2804%
Portugal;Morocco;0;0;0;nan%;nan%;nan%
Portugal;Netherlands;1102;1079;39;3.539%;3.614%;2.507%
Portugal;Norway;1102;1724;39;3.539%;2.262%;4.006%
Portugal;Poland;1044;278;0;0%;0%;0.6847%
Portugal;Romania;1044;1289;65;6.226%;5.043%;3.091%
Portugal;Russia;986;2331;53;5.375%;2.274%;6.108%
Portugal;SanMarino;638;91;0;0%;0%;0.3433%
Portugal;Serbia;754;1054;10;1.326%;0.9488%;3.347%
Portugal;Serbia&Montenegro;174;400;7;4.023%;1.75%;6.103%
Portugal;Slovakia;232;0;0;0%;nan%;0%
Portugal;Slovenia;1102;456;10;0.9074%;2.193%;1.06%
Portugal;Spain;1102;835;134;12.16%;16.05%;1.94%
Portugal;Sweden;1102;2800;50;4.537%;1.786%;6.506%
Portugal;Switzerland;986;605;18;1.826%;2.975%;1.505%
Portugal;Turkey;638;1346;11;1.724%;0.8172%;5.619%
Portugal;Ukraine;870;1637;74;8.506%;4.52%;4.728%
Portugal;UnitedKingdom;1102;643;15;1.361%;2.333%;1.494%
Portugal;Yugoslavia;0;0;0;nan%;nan%;nan%
Romania;Albania;1044;778;5;0.4789%;0.6427%;1.832%
Romania;Andorra;348;0;0;0%;nan%;0%
Romania;Armenia;870;1027;25;2.874%;2.434%;2.879%
Romania;Australia;406;752;22;5.419%;2.926%;4.44%
Romania;Austria;986;959;21;2.13%;2.19%;2.567%
Romania;Azerbaijan;812;1593;45;5.542%;2.825%;4.76%
Romania;Belarus;1044;368;1;0.09579%;0.2717%;0.8668%
Romania;Belgium;1218;1001;24;1.97%;2.398%;2.141%
Romania;BosniaHerzegovina;638;1012;7;1.097%;0.6917%;4.215%
Romania;Bulgaria;754;938;28;3.714%;2.985%;3.012%
Romania;Croatia;1102;581;20;1.815%;3.442%;1.374%
Romania;Cyprus;1160;1040;26;2.241%;2.5%;2.332%
Romania;Czech;580;438;11;1.897%;2.511%;1.802%
Romania;Denmark;1160;1569;36;3.103%;2.294%;3.468%
Romania;Estonia;1218;962;12;0.9852%;1.247%;2.058%
Romania;Finland;1160;632;8;0.6897%;1.266%;1.397%
Romania;France;1218;975;15;1.232%;1.538%;2.086%
Romania;Georgia;812;527;0;0%;0%;1.575%
Romania;Germany;1218;1287;19;1.56%;1.476%;2.753%
Romania;Greece;1160;1824;101;8.707%;5.537%;4.022%
Romania;Hungary;870;836;64;7.356%;7.656%;2.329%
Romania;Iceland;1160;909;15;1.293%;1.65%;2.004%
Romania;Ireland;1160;581;5;0.431%;0.8606%;1.281%
Romania;Israel;1218;1167;32;2.627%;2.742%;2.496%
Romania;Italy;638;1855;39;6.113%;2.102%;7.06%
Romania;Latvia;1218;818;7;0.5747%;0.8557%;1.75%
Romania;Lithuania;1102;586;7;0.6352%;1.195%;1.336%
Romania;Luxembourg;0;0;0;nan%;nan%;nan%
Romania;Macedonia;1160;658;29;2.5%;4.407%;1.454%
Romania;Malta;1218;815;17;1.396%;2.086%;1.743%
Romania;Moldova;986;1207;133;13.49%;11.02%;2.99%
Romania;Monaco;174;0;0;0%;nan%;0%
Romania;Montenegro;754;81;0;0%;0%;0.2601%
Romania;Morocco;0;0;0;nan%;nan%;nan%
Romania;Netherlands;1160;1217;42;3.621%;3.451%;2.683%
Romania;Norway;1160;1969;32;2.759%;1.625%;4.341%
Romania;Poland;986;267;4;0.4057%;1.498%;0.68%
Romania;Portugal;1044;979;13;1.245%;1.328%;2.348%
Romania;Russia;1102;2678;77;6.987%;2.875%;6.395%
Romania;SanMarino;696;91;0;0%;0%;0.3163%
Romania;Serbia;812;1054;21;2.586%;1.992%;3.122%
Romania;Serbia&Montenegro;174;400;14;8.046%;3.5%;6.103%
Romania;Slovakia;232;0;0;0%;nan%;0%
Romania;Slovenia;1160;419;5;0.431%;1.193%;0.9238%
Romania;Spain;1218;866;43;3.53%;4.965%;1.852%
Romania;Sweden;1218;2922;67;5.501%;2.293%;6.251%
Romania;Switzerland;1160;634;23;1.983%;3.628%;1.401%
Romania;Turkey;696;1393;68;9.77%;4.882%;5.483%
Romania;Ukraine;928;1851;27;2.909%;1.459%;5.018%
Romania;UnitedKingdom;1218;777;8;0.6568%;1.03%;1.662%
Romania;Yugoslavia;0;0;0;nan%;nan%;nan%
Russia;Albania;1044;778;3;0.2874%;0.3856%;1.832%
Russia;Andorra;348;0;0;0%;nan%;0%
Russia;Armenia;870;1197;91;10.46%;7.602%;3.356%
Russia;Australia;406;1090;19;4.68%;1.743%;6.436%
Russia;Austria;986;1017;14;1.42%;1.377%;2.723%
Russia;Azerbaijan;812;1590;112;13.79%;7.044%;4.751%
Russia;Belarus;1044;285;41;3.927%;14.39%;0.6713%
Russia;Belgium;1218;819;33;2.709%;4.029%;1.752%
Russia;BosniaHerzegovina;812;1041;6;0.7389%;0.5764%;3.445%
Russia;Bulgaria;754;630;4;0.5305%;0.6349%;2.023%
Russia;Croatia;1160;568;17;1.466%;2.993%;1.302%
Russia;Cyprus;1160;1068;44;3.793%;4.12%;2.395%
Russia;Czech;580;479;2;0.3448%;0.4175%;1.971%
Russia;Denmark;1218;1669;24;1.97%;1.438%;3.584%
Russia;Estonia;1276;1160;41;3.213%;3.534%;2.413%
Russia;Finland;1160;632;8;0.6897%;1.266%;1.397%
Russia;France;1276;1239;44;3.448%;3.551%;2.577%
Russia;Georgia;812;631;45;5.542%;7.132%;1.885%
Russia;Germany;1276;1358;31;2.429%;2.283%;2.824%
Russia;Greece;1218;1894;67;5.501%;3.537%;4.057%
Russia;Hungary;870;744;10;1.149%;1.344%;2.072%
Russia;Iceland;1218;912;15;1.232%;1.645%;1.953%
Russia;Ireland;1218;587;0;0%;0%;1.257%
Russia;Israel;1276;1288;37;2.9%;2.873%;2.679%
Russia;Italy;638;1645;20;3.135%;1.216%;6.261%
Russia;Latvia;1276;966;23;1.803%;2.381%;2.009%
Russia;Lithuania;1160;821;29;2.5%;3.532%;1.817%
Russia;Luxembourg;0;0;0;nan%;nan%;nan%
Russia;Macedonia;1160;658;11;0.9483%;1.672%;1.454%
Russia;Malta;1276;1016;46;3.605%;4.528%;2.113%
Russia;Moldova;986;833;64;6.491%;7.683%;2.064%
Russia;Monaco;174;0;0;0%;nan%;0%
Russia;Montenegro;754;81;0;0%;0%;0.2601%
Russia;Morocco;0;0;0;nan%;nan%;nan%
Russia;Netherlands;1218;1236;22;1.806%;1.78%;2.647%
Russia;Norway;1218;1814;50;4.105%;2.756%;3.885%
Russia;Poland;1044;443;5;0.4789%;1.129%;1.091%
Russia;Portugal;986;239;0;0%;0%;0.6262%
Russia;Romania;1102;1168;39;3.539%;3.339%;2.789%
Russia;SanMarino;696;91;5;0.7184%;5.495%;0.3163%
Russia;Serbia;812;1169;16;1.97%;1.369%;3.463%
Russia;Serbia&Montenegro;174;400;16;9.195%;4%;6.103%
Russia;Slovakia;232;0;0;0%;nan%;0%
Russia;Slovenia;1218;489;18;1.478%;3.681%;1.047%
Russia;Spain;1276;1014;14;1.097%;1.381%;2.109%
Russia;Sweden;1276;2939;43;3.37%;1.463%;6.112%
Russia;Switzerland;1160;634;14;1.207%;2.208%;1.401%
Russia;Turkey;754;1434;12;1.592%;0.8368%;5.363%
Russia;Ukraine;928;2349;101;10.88%;4.3%;6.368%
Russia;UnitedKingdom;1276;756;20;1.567%;2.646%;1.572%
Russia;Yugoslavia;0;0;0;nan%;nan%;nan%
SanMarino;Albania;812;509;22;2.709%;4.322%;1.513%
SanMarino;Andorra;58;0;0;0%;nan%;0%
SanMarino;Armenia;754;776;21;2.785%;2.706%;2.487%
SanMarino;Australia;522;1263;15;2.874%;1.188%;5.791%
SanMarino;Austria;754;940;1;0.1326%;0.1064%;3.018%
SanMarino;Azerbaijan;812;1358;42;5.172%;3.093%;4.037%
SanMarino;Belarus;812;205;0;0%;0%;0.6094%
SanMarino;Belgium;812;832;23;2.833%;2.764%;2.473%
SanMarino;BosniaHerzegovina;290;290;0;0%;0%;2.358%
SanMarino;Bulgaria;580;1088;17;2.931%;1.562%;4.456%
SanMarino;Croatia;696;245;3;0.431%;1.224%;0.8398%
SanMarino;Cyprus;754;785;24;3.183%;3.057%;2.493%
SanMarino;Czech;580;479;10;1.724%;2.088%;1.971%
SanMarino;Denmark;812;993;13;1.601%;1.309%;2.952%
SanMarino;Estonia;812;610;5;0.6158%;0.8197%;1.813%
SanMarino;Finland;812;223;6;0.7389%;2.691%;0.6629%
SanMarino;France;812;840;12;1.478%;1.429%;2.497%
SanMarino;Georgia;812;398;13;1.601%;3.266%;1.183%
SanMarino;Germany;812;669;14;1.724%;2.093%;1.989%
SanMarino;Greece;812;763;50;6.158%;6.553%;2.268%
SanMarino;Hungary;812;719;24;2.956%;3.338%;2.137%
SanMarino;Iceland;812;508;16;1.97%;3.15%;1.51%
SanMarino;Ireland;812;306;4;0.4926%;1.307%;0.9096%
SanMarino;Israel;812;959;37;4.557%;3.858%;2.851%
SanMarino;Italy;754;1979;88;11.67%;4.447%;6.354%
SanMarino;Latvia;812;401;18;2.217%;4.489%;1.192%
SanMarino;Lithuania;812;561;8;0.9852%;1.426%;1.668%
SanMarino;Luxembourg;0;0;0;nan%;nan%;nan%
SanMarino;Macedonia;812;376;1;0.1232%;0.266%;1.118%
SanMarino;Malta;812;453;19;2.34%;4.194%;1.347%
SanMarino;Moldova;812;832;25;3.079%;3.005%;2.473%
SanMarino;Monaco;0;0;0;nan%;nan%;nan%
SanMarino;Montenegro;754;81;0;0%;0%;0.2601%
SanMarino;Morocco;0;0;0;nan%;nan%;nan%
SanMarino;Netherlands;812;1274;22;2.709%;1.727%;3.787%
SanMarino;Norway;812;1203;33;4.064%;2.743%;3.576%
SanMarino;Poland;696;379;8;1.149%;2.111%;1.31%
SanMarino;Portugal;638;866;24;3.762%;2.771%;3.267%
SanMarino;Romania;696;647;7;1.006%;1.082%;2.249%
SanMarino;Russia;696;2035;49;7.04%;2.408%;7.074%
SanMarino;Serbia;754;829;14;1.857%;1.689%;2.632%
SanMarino;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
SanMarino;Slovakia;116;0;0;0%;nan%;0%
SanMarino;Slovenia;812;313;7;0.8621%;2.236%;0.9304%
SanMarino;Spain;812;496;1;0.1232%;0.2016%;1.474%
SanMarino;Sweden;812;2462;40;4.926%;1.625%;7.319%
SanMarino;Switzerland;812;447;7;0.8621%;1.566%;1.329%
SanMarino;Turkey;174;250;9;5.172%;3.6%;3.367%
SanMarino;Ukraine;638;1481;29;4.545%;1.958%;5.575%
SanMarino;UnitedKingdom;812;426;31;3.818%;7.277%;1.266%
SanMarino;Yugoslavia;0;0;0;nan%;nan%;nan%
Serbia;Albania;928;619;2;0.2155%;0.3231%;1.602%
Serbia;Andorra;174;0;0;0%;nan%;0%
Serbia;Armenia;870;973;16;1.839%;1.644%;2.688%
Serbia;Australia;522;1263;25;4.789%;1.979%;5.791%
Serbia;Austria;754;650;8;1.061%;1.231%;2.068%
Serbia;Azerbaijan;870;1677;15;1.724%;0.8945%;4.634%
Serbia;Belarus;928;325;2;0.2155%;0.6154%;0.8414%
Serbia;Belgium;928;975;20;2.155%;2.051%;2.524%
Serbia;BosniaHerzegovina;464;553;61;13.15%;11.03%;2.846%
Serbia;Bulgaria;754;1245;36;4.775%;2.892%;3.946%
Serbia;Croatia;870;290;17;1.954%;5.862%;0.7987%
Serbia;Cyprus;928;812;21;2.263%;2.586%;2.102%
Serbia;Czech;696;479;9;1.293%;1.879%;1.642%
Serbia;Denmark;928;1142;19;2.047%;1.664%;2.956%
Serbia;Estonia;928;739;11;1.185%;1.488%;1.913%
Serbia;Finland;928;226;0;0%;0%;0.5851%
Serbia;France;928;1046;10;1.078%;0.956%;2.708%
Serbia;Georgia;870;631;0;0%;0%;1.743%
Serbia;Germany;928;960;18;1.94%;1.875%;2.485%
Serbia;Greece;928;1127;35;3.772%;3.106%;2.918%
Serbia;Hungary;870;704;68;7.816%;9.659%;1.936%
Serbia;Iceland;928;709;5;0.5388%;0.7052%;1.835%
Serbia;Ireland;928;336;0;0%;0%;0.8698%
Serbia;Israel;928;1083;30;3.233%;2.77%;2.804%
Serbia;Italy;696;1946;58;8.333%;2.98%;6.71%
Serbia;Latvia;928;455;1;0.1078%;0.2198%;1.178%
Serbia;Lithuania;928;612;15;1.616%;2.451%;1.584%
Serbia;Luxembourg;0;0;0;nan%;nan%;nan%
Serbia;Macedonia;928;449;46;4.957%;10.24%;1.162%
Serbia;Malta;928;452;23;2.478%;5.088%;1.17%
Serbia;Moldova;928;1037;27;2.909%;2.604%;2.685%
Serbia;Monaco;0;0;0;nan%;nan%;nan%
Serbia;Montenegro;812;44;12;1.478%;27.27%;0.1299%
Serbia;Morocco;0;0;0;nan%;nan%;nan%
Serbia;Netherlands;928;1036;15;1.616%;1.448%;2.682%
Serbia;Norway;928;1537;34;3.664%;2.212%;3.979%
Serbia;Poland;812;317;0;0%;0%;0.9343%
Serbia;Portugal;754;966;23;3.05%;2.381%;3.067%
Serbia;Romania;812;861;12;1.478%;1.394%;2.551%
Serbia;Russia;812;2334;67;8.251%;2.871%;6.914%
Serbia;SanMarino;754;77;1;0.1326%;1.299%;0.2445%
Serbia;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Serbia;Slovakia;232;0;0;0%;nan%;0%
Serbia;Slovenia;928;370;38;4.095%;10.27%;0.9579%
Serbia;Spain;928;556;2;0.2155%;0.3597%;1.439%
Serbia;Sweden;928;2328;46;4.957%;1.976%;6.027%
Serbia;Switzerland;928;383;16;1.724%;4.178%;0.9915%
Serbia;Turkey;348;760;3;0.8621%;0.3947%;5.22%
Serbia;Ukraine;754;1787;51;6.764%;2.854%;5.664%
Serbia;UnitedKingdom;928;588;10;1.078%;1.701%;1.522%
Serbia;Yugoslavia;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Albania;174;159;16;9.195%;10.06%;2.426%
Serbia&Montenegro;Andorra;174;0;0;0%;nan%;0%
Serbia&Montenegro;Armenia;58;129;0;0%;0%;5.853%
Serbia&Montenegro;Australia;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Austria;116;9;0;0%;0%;0.2069%
Serbia&Montenegro;Azerbaijan;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Belarus;174;0;0;0%;nan%;0%
Serbia&Montenegro;Belgium;174;7;0;0%;0%;0.1068%
Serbia&Montenegro;BosniaHerzegovina;174;399;22;12.64%;5.514%;6.088%
Serbia&Montenegro;Bulgaria;116;0;0;0%;nan%;0%
Serbia&Montenegro;Croatia;174;221;25;14.37%;11.31%;3.372%
Serbia&Montenegro;Cyprus;174;216;4;2.299%;1.852%;3.296%
Serbia&Montenegro;Czech;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Denmark;174;151;0;0%;0%;2.304%
Serbia&Montenegro;Estonia;174;0;0;0%;nan%;0%
Serbia&Montenegro;Finland;174;292;7;4.023%;2.397%;4.455%
Serbia&Montenegro;France;174;56;0;0%;0%;0.8544%
Serbia&Montenegro;Georgia;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Germany;174;133;0;0%;0%;2.029%
Serbia&Montenegro;Greece;174;610;25;14.37%;4.098%;9.307%
Serbia&Montenegro;Hungary;58;97;6;10.34%;6.186%;4.288%
Serbia&Montenegro;Iceland;174;16;0;0%;0%;0.2441%
Serbia&Montenegro;Ireland;174;100;0;0%;0%;1.526%
Serbia&Montenegro;Israel;174;158;0;0%;0%;2.411%
Serbia&Montenegro;Italy;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Latvia;174;183;0;0%;0%;2.792%
Serbia&Montenegro;Lithuania;174;162;3;1.724%;1.852%;2.472%
Serbia&Montenegro;Luxembourg;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Macedonia;174;155;27;15.52%;17.42%;2.365%
Serbia&Montenegro;Malta;174;243;0;0%;0%;3.708%
Serbia&Montenegro;Moldova;116;170;5;4.31%;2.941%;3.807%
Serbia&Montenegro;Monaco;174;0;0;0%;nan%;0%
Serbia&Montenegro;Montenegro;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Morocco;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Netherlands;174;11;0;0%;0%;0.1678%
Serbia&Montenegro;Norway;174;164;2;1.149%;1.22%;2.502%
Serbia&Montenegro;Poland;174;27;0;0%;0%;0.412%
Serbia&Montenegro;Portugal;174;0;0;0%;nan%;0%
Serbia&Montenegro;Romania;174;348;7;4.023%;2.011%;5.31%
Serbia&Montenegro;Russia;174;372;6;3.448%;1.613%;5.676%
Serbia&Montenegro;SanMarino;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Serbia;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Slovakia;0;0;0;nan%;nan%;nan%
Serbia&Montenegro;Slovenia;174;0;0;0%;nan%;0%
Serbia&Montenegro;Spain;174;133;0;0%;0%;2.029%
Serbia&Montenegro;Sweden;174;370;5;2.874%;1.351%;5.645%
Serbia&Montenegro;Switzerland;174;158;0;0%;0%;2.411%
Serbia&Montenegro;Turkey;174;378;2;1.149%;0.5291%;5.767%
Serbia&Montenegro;Ukraine;174;455;12;6.897%;2.637%;6.942%
Serbia&Montenegro;UnitedKingdom;174;72;0;0%;0%;1.099%
Serbia&Montenegro;Yugoslavia;0;0;0;nan%;nan%;nan%
Slovakia;Albania;232;256;0;0%;0%;2.659%
Slovakia;Andorra;58;0;0;0%;nan%;0%
Slovakia;Armenia;174;233;7;4.023%;3.004%;3.24%
Slovakia;Australia;0;0;0;nan%;nan%;nan%
Slovakia;Austria;116;64;3;2.586%;4.688%;1.298%
Slovakia;Azerbaijan;232;723;17;7.328%;2.351%;7.509%
Slovakia;Belarus;232;18;0;0%;0%;0.187%
Slovakia;Belgium;232;143;10;4.31%;6.993%;1.485%
Slovakia;BosniaHerzegovina;232;337;10;4.31%;2.967%;3.5%
Slovakia;Bulgaria;232;0;0;0%;nan%;0%
