From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Ireland;Macedonia;1218;633;5;0,41%;0,79%;1,30%;-0,89%
Cyprus;Macedonia;1218;658;5;0,41%;0,76%;1,37%;-0,96%
Georgia;Macedonia;928;449;3;0,32%;0,67%;1,17%;-0,85%
Monaco;Macedonia;174;155;1;0,57%;0,65%;2,37%;-1,79%
Netherlands;Macedonia;1218;633;4;0,33%;0,63%;1,30%;-0,97%
Sweden;Macedonia;1276;658;2;0,16%;0,30%;1,31%;-1,16%
SanMarino;Macedonia;812;376;1;0,12%;0,27%;1,12%;-0,99%
Greece;Macedonia;1218;629;1;0,08%;0,16%;1,29%;-1,21%
Lithuania;Macedonia;1218;629;0;0,00%;0,00%;1,29%;-1,29%
Belgium;Macedonia;1276;658;0;0,00%;0,00%;1,31%;-1,31%
Estonia;Macedonia;1276;658;0;0,00%;0,00%;1,31%;-1,31%
Israel;Macedonia;1276;658;0;0,00%;0,00%;1,31%;-1,31%
Spain;Macedonia;1276;658;0;0,00%;0,00%;1,31%;-1,31%
Andorra;Macedonia;348;228;0;0,00%;0,00%;1,64%;-1,64%
Luxembourg;Macedonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Macedonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Macedonia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Malta;928;484;46;4,96%;9,50%;1,26%;3,70%
Armenia;Malta;986;444;29;2,94%;6,53%;1,10%;1,85%
UnitedKingdom;Malta;1392;1016;55;3,95%;5,41%;1,92%;2,03%
Italy;Malta;754;453;24;3,18%;5,30%;1,45%;1,73%
Serbia;Malta;928;452;23;2,48%;5,09%;1,17%;1,31%
Russia;Malta;1276;1016;46;3,61%;4,53%;2,11%;1,49%
Belarus;Malta;1160;727;32;2,76%;4,40%;1,54%;1,22%
SanMarino;Malta;812;453;19;2,34%;4,19%;1,35%;0,99%
Denmark;Malta;1334;1012;42;3,15%;4,15%;1,97%;1,18%
Australia;Malta;522;260;10;1,92%;3,85%;1,19%;0,72%
Cyprus;Malta;1276;936;36;2,82%;3,85%;1,89%;0,93%
Macedonia;Malta;1276;964;36;2,82%;3,73%;1,92%;0,90%
Montenegro;Malta;870;484;18;2,07%;3,72%;1,34%;0,73%
Turkey;Malta;754;604;22;2,92%;3,64%;2,26%;0,66%
Ireland;Malta;1334;852;30;2,25%;3,52%;1,65%;0,60%
Hungary;Malta;986;676;23;2,33%;3,40%;1,66%;0,68%
Germany;Malta;1392;1016;34;2,44%;3,35%;1,92%;0,52%
Latvia;Malta;1392;1016;33;2,37%;3,25%;1,92%;0,45%
Ukraine;Malta;1044;624;20;1,92%;3,21%;1,49%;0,42%
Greece;Malta;1334;943;30;2,25%;3,18%;1,83%;0,42%
Netherlands;Malta;1334;852;27;2,02%;3,17%;1,65%;0,37%
Norway;Malta;1334;852;27;2,02%;3,17%;1,65%;0,37%
Czech;Malta;696;291;9;1,29%;3,09%;1,00%;0,30%
Israel;Malta;1392;1016;31;2,23%;3,05%;1,92%;0,31%
Spain;Malta;1392;1016;29;2,08%;2,85%;1,92%;0,16%
Austria;Malta;1102;936;25;2,27%;2,67%;2,22%;0,05%
Estonia;Malta;1392;1016;27;1,94%;2,66%;1,92%;0,02%
Croatia;Malta;1276;984;26;2,04%;2,64%;2,03%;0,01%
Andorra;Malta;348;274;7;2,01%;2,56%;1,97%;0,04%
Sweden;Malta;1392;1016;25;1,80%;2,46%;1,92%;-0,12%
Finland;Malta;1276;964;22;1,72%;2,28%;1,92%;-0,20%
Romania;Malta;1218;815;17;1,40%;2,09%;1,74%;-0,35%
Monaco;Malta;174;243;5;2,87%;2,06%;3,71%;-0,83%
Lithuania;Malta;1276;939;18;1,41%;1,92%;1,88%;-0,47%
Iceland;Malta;1334;852;16;1,20%;1,88%;1,65%;-0,45%
France;Malta;1392;1016;19;1,37%;1,87%;1,92%;-0,55%
Belgium;Malta;1334;968;16;1,20%;1,65%;1,88%;-0,68%
Poland;Malta;1160;618;10;0,86%;1,62%;1,36%;-0,50%
Albania;Malta;1160;727;11;0,95%;1,51%;1,54%;-0,59%
Bulgaria;Malta;870;538;7;0,80%;1,30%;1,49%;-0,69%
Slovenia;Malta;1334;943;12;0,90%;1,27%;1,83%;-0,93%
BosniaHerzegovina;Malta;812;684;6;0,74%;0,88%;2,26%;-1,53%
Switzerland;Malta;1276;964;7;0,55%;0,73%;1,92%;-1,38%
Georgia;Malta;928;453;3;0,32%;0,66%;1,18%;-0,86%
Moldova;Malta;1102;677;4;0,36%;0,59%;1,50%;-1,13%
Portugal;Malta;1102;506;2;0,18%;0,40%;1,18%;-0,99%
Slovakia;Malta;232;72;0;0,00%;0,00%;0,75%;-0,75%
Serbia&Montenegro;Malta;174;243;0;0,00%;0,00%;3,71%;-3,71%
Luxembourg;Malta;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Malta;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Malta;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Romania;Moldova;986;1207;133;13,49%;11,02%;2,99%;10,50%
Russia;Moldova;986;833;64;6,49%;7,68%;2,06%;4,43%
Portugal;Moldova;928;1136;76;8,19%;6,69%;2,98%;5,21%
Ukraine;Moldova;928;1207;71;7,65%;5,88%;3,16%;4,49%
Azerbaijan;Moldova;928;928;52;5,60%;5,60%;2,42%;3,18%
Italy;Moldova;754;832;46;6,10%;5,53%;2,67%;3,43%
Australia;Moldova;522;583;29;5,56%;4,97%;2,67%;2,88%
Belarus;Moldova;1102;1207;51;4,63%;4,23%;2,67%;1,96%
Turkey;Moldova;464;553;22;4,74%;3,98%;2,91%;1,83%
Greece;Moldova;1102;1207;44;3,99%;3,65%;2,67%;1,33%
Spain;Moldova;1102;1207;39;3,54%;3,23%;2,67%;0,87%
Armenia;Moldova;986;978;30;3,04%;3,07%;2,41%;0,63%
SanMarino;Moldova;812;832;25;3,08%;3,01%;2,47%;0,61%
Serbia&Montenegro;Moldova;116;170;5;4,31%;2,94%;3,81%;0,50%
Israel;Moldova;1102;1207;33;3,00%;2,73%;2,67%;0,33%
Serbia;Moldova;928;1037;27;2,91%;2,60%;2,69%;0,22%
Bulgaria;Moldova;870;1207;31;3,56%;2,57%;3,35%;0,21%
UnitedKingdom;Moldova;1102;1207;26;2,36%;2,15%;2,67%;-0,31%
Montenegro;Moldova;870;913;19;2,18%;2,08%;2,54%;-0,35%
Latvia;Moldova;1102;1207;24;2,18%;1,99%;2,67%;-0,49%
Lithuania;Moldova;1102;1207;24;2,18%;1,99%;2,67%;-0,49%
Hungary;Moldova;986;1158;23;2,33%;1,99%;2,84%;-0,51%
France;Moldova;1102;1207;23;2,09%;1,91%;2,67%;-0,58%
Poland;Moldova;986;1055;20;2,03%;1,90%;2,60%;-0,57%
Czech;Moldova;696;761;14;2,01%;1,84%;2,61%;-0,60%
Slovakia;Moldova;232;274;5;2,16%;1,83%;2,85%;-0,69%
Ireland;Moldova;1102;1207;22;2,00%;1,82%;2,67%;-0,67%
Macedonia;Moldova;1102;1207;22;2,00%;1,82%;2,67%;-0,67%
Cyprus;Moldova;1044;1207;20;1,92%;1,66%;2,80%;-0,89%
Denmark;Moldova;1102;1207;18;1,63%;1,49%;2,67%;-1,04%
Sweden;Moldova;1102;1207;18;1,63%;1,49%;2,67%;-1,04%
Croatia;Moldova;986;1207;17;1,72%;1,41%;2,96%;-1,24%
Belgium;Moldova;1102;1207;16;1,45%;1,33%;2,67%;-1,22%
Georgia;Moldova;928;968;12;1,29%;1,24%;2,53%;-1,23%
Austria;Moldova;870;1089;13;1,49%;1,19%;3,04%;-1,54%
Iceland;Moldova;1102;1207;14;1,27%;1,16%;2,67%;-1,40%
Slovenia;Moldova;1102;1207;14;1,27%;1,16%;2,67%;-1,40%
Andorra;Moldova;290;348;4;1,38%;1,15%;2,94%;-1,56%
Germany;Moldova;1102;1207;12;1,09%;0,99%;2,67%;-1,58%
Norway;Moldova;1102;1207;12;1,09%;0,99%;2,67%;-1,58%
Estonia;Moldova;1102;1207;11;1,00%;0,91%;2,67%;-1,67%
Finland;Moldova;1102;1207;10;0,91%;0,83%;2,67%;-1,76%
BosniaHerzegovina;Moldova;580;553;4;0,69%;0,72%;2,31%;-1,62%
Netherlands;Moldova;1102;1207;5;0,45%;0,41%;2,67%;-2,21%
Malta;Moldova;1102;1207;3;0,27%;0,25%;2,67%;-2,40%
Albania;Moldova;1102;1207;2;0,18%;0,17%;2,67%;-2,49%
Switzerland;Moldova;1102;1207;2;0,18%;0,17%;2,67%;-2,49%
Monaco;Moldova;116;170;0;0,00%;0,00%;3,81%;-3,81%
Luxembourg;Moldova;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Moldova;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Moldova;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Australia;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Czech;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Georgia;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Italy;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Montenegro;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
SanMarino;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Monaco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Albania;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Belarus;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Belgium;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Croatia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Cyprus;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Denmark;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Estonia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Finland;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
France;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Germany;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Greece;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Iceland;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Ireland;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Israel;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Latvia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Lithuania;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Macedonia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Malta;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Netherlands;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Norway;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Poland;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Portugal;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Romania;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Russia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Slovenia;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Spain;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Sweden;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Switzerland;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Ukraine;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
UnitedKingdom;Monaco;174;0;0;0,00%;-1,00%;0,00%;0,00%
Austria;Monaco;116;0;0;0,00%;-1,00%;0,00%;0,00%
Bulgaria;Monaco;116;0;0;0,00%;-1,00%;0,00%;0,00%
Moldova;Monaco;116;0;0;0,00%;-1,00%;0,00%;0,00%
Armenia;Monaco;58;0;0;0,00%;-1,00%;0,00%;0,00%
Hungary;Monaco;58;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia;Montenegro;812;44;12;1,48%;27,27%;0,13%;1,35%
Armenia;Montenegro;812;81;20;2,46%;24,69%;0,24%;2,22%
Slovenia;Montenegro;870;81;17;1,95%;20,99%;0,22%;1,73%
Macedonia;Montenegro;870;81;16;1,84%;19,75%;0,22%;1,61%
Albania;Montenegro;870;81;12;1,38%;14,81%;0,22%;1,15%
Sweden;Montenegro;870;81;2;0,23%;2,47%;0,22%;0,00%
Azerbaijan;Montenegro;812;81;2;0,25%;2,47%;0,24%;0,01%
Ukraine;Montenegro;696;37;0;0,00%;0,00%;0,13%;-0,13%
Cyprus;Montenegro;812;44;0;0,00%;0,00%;0,13%;-0,13%
Czech;Montenegro;696;44;0;0,00%;0,00%;0,15%;-0,15%
Australia;Montenegro;522;44;0;0,00%;0,00%;0,20%;-0,20%
Belarus;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Belgium;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Denmark;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Estonia;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Finland;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
France;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Germany;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Greece;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Hungary;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Iceland;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Ireland;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Israel;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Latvia;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Lithuania;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Malta;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Moldova;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Netherlands;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Norway;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Spain;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Switzerland;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
UnitedKingdom;Montenegro;870;81;0;0,00%;0,00%;0,22%;-0,22%
Georgia;Montenegro;812;81;0;0,00%;0,00%;0,24%;-0,24%
Poland;Montenegro;754;81;0;0,00%;0,00%;0,26%;-0,26%
Romania;Montenegro;754;81;0;0,00%;0,00%;0,26%;-0,26%
Russia;Montenegro;754;81;0;0,00%;0,00%;0,26%;-0,26%
SanMarino;Montenegro;754;81;0;0,00%;0,00%;0,26%;-0,26%
Austria;Montenegro;754;81;0;0,00%;0,00%;0,26%;-0,26%
Portugal;Montenegro;696;81;0;0,00%;0,00%;0,28%;-0,28%
Italy;Montenegro;696;81;0;0,00%;0,00%;0,28%;-0,28%
Luxembourg;Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Montenegro;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Croatia;Montenegro;754;0;0;0,00%;-1,00%;0,00%;0,00%
Bulgaria;Montenegro;638;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Montenegro;348;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;Montenegro;232;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;Montenegro;174;0;0;0,00%;-1,00%;0,00%;0,00%
Slovakia;Montenegro;116;0;0;0,00%;-1,00%;0,00%;0,00%
Albania;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Andorra;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Armenia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Australia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Austria;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belarus;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belgium;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
BosniaHerzegovina;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Bulgaria;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Croatia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Cyprus;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Czech;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Denmark;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Estonia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Finland;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
France;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Georgia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Germany;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Greece;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Hungary;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Iceland;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Ireland;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Israel;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Italy;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Latvia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Lithuania;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Macedonia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Malta;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Moldova;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Montenegro;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Netherlands;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Norway;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Poland;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Portugal;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Romania;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Russia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
SanMarino;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovenia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Spain;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Sweden;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Switzerland;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Turkey;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Ukraine;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
UnitedKingdom;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Morocco;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belgium;Netherlands;1276;1370;106;8,31%;7,74%;2,73%;5,58%
Denmark;Netherlands;1276;1341;59;4,62%;4,40%;2,68%;1,95%
Norway;Netherlands;1334;1386;59;4,42%;4,26%;2,69%;1,74%
Hungary;Netherlands;986;1274;50;5,07%;3,93%;3,13%;1,95%
Ireland;Netherlands;1334;1386;53;3,97%;3,82%;2,69%;1,29%
Austria;Netherlands;1044;1370;52;4,98%;3,80%;3,36%;1,63%
Sweden;Netherlands;1334;1386;52;3,90%;3,75%;2,69%;1,21%
Iceland;Netherlands;1334;1386;51;3,82%;3,68%;2,69%;1,14%
Portugal;Netherlands;1102;1079;39;3,54%;3,61%;2,51%;1,03%
Estonia;Netherlands;1334;1386;48;3,60%;3,46%;2,69%;0,91%
Germany;Netherlands;1334;1386;48;3,60%;3,46%;2,69%;0,91%
Romania;Netherlands;1160;1217;42;3,62%;3,45%;2,68%;0,94%
France;Netherlands;1334;1386;44;3,30%;3,18%;2,69%;0,61%
Switzerland;Netherlands;1218;1325;42;3,45%;3,17%;2,72%;0,73%
Finland;Netherlands;1218;1325;41;3,37%;3,09%;2,72%;0,65%
Poland;Netherlands;1160;1232;38;3,28%;3,08%;2,71%;0,57%
Lithuania;Netherlands;1218;1301;40;3,28%;3,08%;2,67%;0,61%
Slovenia;Netherlands;1276;1346;41;3,21%;3,05%;2,68%;0,53%
Czech;Netherlands;696;922;25;3,59%;2,71%;3,16%;0,43%
Turkey;Netherlands;696;112;3;0,43%;2,68%;0,44%;-0,01%
Latvia;Netherlands;1334;1386;37;2,77%;2,67%;2,69%;0,09%
Malta;Netherlands;1334;1386;34;2,55%;2,45%;2,69%;-0,14%
Spain;Netherlands;1334;1386;33;2,47%;2,38%;2,69%;-0,21%
Bulgaria;Netherlands;870;538;12;1,38%;2,23%;1,49%;-0,12%
Israel;Netherlands;1334;1386;29;2,17%;2,09%;2,69%;-0,51%
UnitedKingdom;Netherlands;1334;1386;29;2,17%;2,09%;2,69%;-0,51%
Australia;Netherlands;522;922;19;3,64%;2,06%;4,23%;-0,59%
Croatia;Netherlands;1218;1148;23;1,89%;2,00%;2,44%;-0,55%
Macedonia;Netherlands;1218;1325;25;2,05%;1,89%;2,72%;-0,67%
Armenia;Netherlands;986;1274;23;2,33%;1,81%;3,14%;-0,81%
Belarus;Netherlands;1160;1285;23;1,98%;1,79%;2,72%;-0,73%
Russia;Netherlands;1218;1236;22;1,81%;1,78%;2,65%;-0,84%
SanMarino;Netherlands;812;1274;22;2,71%;1,73%;3,79%;-1,08%
Georgia;Netherlands;928;1274;19;2,05%;1,49%;3,32%;-1,28%
Serbia;Netherlands;928;1036;15;1,62%;1,45%;2,68%;-1,07%
Cyprus;Netherlands;1218;1132;16;1,31%;1,41%;2,35%;-1,04%
Ukraine;Netherlands;1044;832;11;1,05%;1,32%;1,99%;-0,94%
Greece;Netherlands;1276;1346;14;1,10%;1,04%;2,68%;-1,59%
Italy;Netherlands;754;1274;13;1,72%;1,02%;4,09%;-2,37%
BosniaHerzegovina;Netherlands;754;225;2;0,27%;0,89%;0,78%;-0,52%
Albania;Netherlands;1160;1285;11;0,95%;0,86%;2,72%;-1,77%
Moldova;Netherlands;1102;1274;10;0,91%;0,78%;2,82%;-1,91%
Azerbaijan;Netherlands;928;1274;7;0,75%;0,55%;3,32%;-2,57%
Montenegro;Netherlands;870;1274;4;0,46%;0,31%;3,54%;-3,08%
Andorra;Netherlands;348;11;0;0,00%;0,00%;0,08%;-0,08%
Monaco;Netherlands;174;11;0;0,00%;0,00%;0,17%;-0,17%
Serbia&Montenegro;Netherlands;174;11;0;0,00%;0,00%;0,17%;-0,17%
Luxembourg;Netherlands;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Netherlands;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Netherlands;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Netherlands;232;0;0;0,00%;-1,00%;0,00%;0,00%
Sweden;Norway;1334;1972;117;8,77%;5,93%;3,83%;4,95%
Denmark;Norway;1276;1849;106;8,31%;5,73%;3,69%;4,61%
Iceland;Norway;1334;1972;97;7,27%;4,92%;3,83%;3,45%
Estonia;Norway;1334;1972;84;6,30%;4,26%;3,83%;2,47%
Finland;Norway;1218;1846;73;5,99%;3,95%;3,79%;2,20%
Latvia;Norway;1334;1972;76;5,70%;3,85%;3,83%;1,87%
Italy;Norway;754;1021;38;5,04%;3,72%;3,28%;1,76%
Belarus;Norway;1160;1789;66;5,69%;3,69%;3,78%;1,91%
Lithuania;Norway;1218;1792;64;5,26%;3,57%;3,68%;1,57%
Netherlands;Norway;1334;1972;69;5,17%;3,50%;3,83%;1,35%
Ireland;Norway;1334;1972;68;5,10%;3,45%;3,83%;1,27%
Poland;Norway;1160;1717;56;4,83%;3,26%;3,78%;1,05%
Germany;Norway;1334;1972;64;4,80%;3,25%;3,83%;0,97%
Slovakia;Norway;232;429;13;5,60%;3,03%;4,46%;1,15%
Russia;Norway;1218;1814;50;4,11%;2,76%;3,89%;0,22%
SanMarino;Norway;812;1203;33;4,06%;2,74%;3,58%;0,49%
Switzerland;Norway;1218;1846;50;4,11%;2,71%;3,79%;0,32%
Hungary;Norway;986;1715;45;4,56%;2,62%;4,21%;0,36%
Israel;Norway;1334;1972;51;3,82%;2,59%;3,83%;0,00%
Ukraine;Norway;1044;1479;38;3,64%;2,57%;3,54%;0,10%
UnitedKingdom;Norway;1334;1972;48;3,60%;2,43%;3,83%;-0,23%
Slovenia;Norway;1276;1915;46;3,61%;2,40%;3,82%;-0,21%
Malta;Norway;1334;1972;46;3,45%;2,33%;3,83%;-0,38%
Australia;Norway;522;735;17;3,26%;2,31%;3,37%;-0,11%
Armenia;Norway;986;1654;38;3,85%;2,30%;4,08%;-0,23%
Portugal;Norway;1102;1724;39;3,54%;2,26%;4,01%;-0,47%
Serbia;Norway;928;1537;34;3,66%;2,21%;3,98%;-0,32%
Belgium;Norway;1276;1969;42;3,29%;2,13%;3,92%;-0,63%
Moldova;Norway;1102;1786;38;3,45%;2,13%;3,95%;-0,50%
Spain;Norway;1334;1972;38;2,85%;1,93%;3,83%;-0,98%
Georgia;Norway;928;1238;22;2,37%;1,78%;3,23%;-0,86%
Andorra;Norway;348;733;13;3,74%;1,77%;5,27%;-1,53%
BosniaHerzegovina;Norway;754;901;15;1,99%;1,67%;3,13%;-1,14%
Romania;Norway;1160;1969;32;2,76%;1,63%;4,34%;-1,58%
Turkey;Norway;696;958;15;2,16%;1,57%;3,78%;-1,63%
Greece;Norway;1276;1915;28;2,19%;1,46%;3,82%;-1,62%
Austria;Norway;1044;1329;19;1,82%;1,43%;3,26%;-1,44%
France;Norway;1334;1972;28;2,10%;1,42%;3,83%;-1,73%
Azerbaijan;Norway;928;1625;23;2,48%;1,42%;4,24%;-1,76%
Croatia;Norway;1218;1782;24;1,97%;1,35%;3,78%;-1,81%
Montenegro;Norway;870;1590;21;2,41%;1,32%;4,41%;-2,00%
